Mach,CD Power-Off
0.01,0.499333266
0.02,0.537713857
0.03,0.541845848
0.04,0.540078149
0.05,0.536883954
0.06,0.533407559
0.07,0.530002675
0.08,0.5267817
0.09,0.523772852
0.1,0.520973266
0.11,0.518368913
0.12,0.515942498
0.13,0.513676743
0.14,0.511555476
0.15,0.509564232
0.16,0.507690094
0.17,0.505921748
0.18,0.504249253
0.19,0.502663813
0.2,0.501157739
0.21,0.499724247
0.22,0.49835728
0.23,0.497051527
0.24,0.495802196
0.25,0.494605048
0.26,0.493746225
0.27,0.492932313
0.28,0.492160296
0.29,0.491427301
0.3,0.490730805
0.31,0.490068563
0.32,0.489438381
0.33,0.489555972
0.34,0.489789926
0.35,0.490024012
0.36,0.490258179
0.37,0.490492477
0.38,0.49072689
0.39,0.490961416
0.4,0.491196056
0.41,0.491430809
0.42,0.491665657
0.43,0.491900652
0.44,0.492135723
0.45,0.492370941
0.46,0.492606252
0.47,0.492841673
0.48,0.493077187
0.49,0.493312828
0.5,0.493548579
0.51,0.493784455
0.52,0.494020405
0.53,0.494256481
0.54,0.494492664
0.55,0.494728937
0.56,0.494965352
0.57,0.495201838
0.58,0.495438465
0.59,0.495675181
0.6,0.495911984
0.61,0.49667357
0.62,0.49741643
0.63,0.498159394
0.64,0.498902445
0.65,0.499645634
0.66,0.500388892
0.67,0.501132269
0.68,0.501875766
0.69,0.50261933
0.7,0.503363014
0.71,0.50410678
0.72,0.504850683
0.73,0.505594652
0.74,0.506338738
0.75,0.507082924
0.76,0.507827209
0.77,0.508571576
0.78,0.509316076
0.79,0.51006064
0.8,0.51080532
0.81,0.511550079
0.82,0.512294972
0.83,0.513039943
0.84,0.513784994
0.85,0.514530177
0.86,0.51527542
0.87,0.516020776
0.88,0.51676621
0.89,0.517511775
0.9,0.518257399
0.91,0.521781549
0.92,0.532354
0.93,0.548684202
0.94,0.565485928
0.95,0.582287654
0.96,0.599089381
0.97,0.615891107
0.98,0.632692834
0.99,0.64949456
1,0.666296287
1.01,0.683098013
1.02,0.699899739
1.03,0.716701466
1.04,0.733503192
1.05,0.750304919
1.06,0.749778795
1.07,0.749272925
1.08,0.749168157
1.09,0.749429817
1.1,0.749938966
1.11,0.750656575
1.12,0.751560734
1.13,0.752637158
1.14,0.753875597
1.15,0.755268312
1.16,0.75656632
1.17,0.75799978
1.18,0.759573634
1.19,0.760861131
1.2,0.761180348
1.21,0.761644999
1.22,0.762252924
1.23,0.763002239
1.24,0.763891307
1.25,0.764918688
1.26,0.766083123
1.27,0.767383488
1.28,0.768818801
1.29,0.770388188
1.3,0.772090882
1.31,0.77392625
1.32,0.775893659
1.33,0.777992639
1.34,0.780222738
1.35,0.78258359
1.36,0.785074848
1.37,0.787696306
1.38,0.790447728
1.39,0.793328949
1.4,0.796339844
1.41,0.799480347
1.42,0.799051716
1.43,0.796004443
1.44,0.793014528
1.45,0.790079139
1.46,0.787195601
1.47,0.78436143
1.48,0.781574334
1.49,0.778832134
1.5,0.776132818
1.51,0.773474486
1.52,0.770855392
1.53,0.768273833
1.54,0.76572826
1.55,0.763217227
1.56,0.76073931
1.57,0.758293236
1.58,0.755877739
1.59,0.753491671
1.6,0.751133924
1.61,0.748803472
1.62,0.746499294
1.63,0.744220496
1.64,0.741966161
1.65,0.739735462
1.66,0.737527579
1.67,0.735341771
1.68,0.733177325
1.69,0.731033513
1.7,0.728909734
1.71,0.726805328
1.72,0.724719693
1.73,0.722652297
1.74,0.720602562
1.75,0.718570007
1.76,0.716554119
1.77,0.714554435
1.78,0.712570491
1.79,0.710601872
1.8,0.708648167
1.81,0.706708967
1.82,0.704783902
1.83,0.702872603
1.84,0.700974756
1.85,0.699089981
1.86,0.69721799
1.87,0.69535845
1.88,0.693511094
1.89,0.691675632
1.9,0.689851779
1.91,0.688039298
1.92,0.686237909
1.93,0.684447374
1.94,0.682667485
1.95,0.680897993
1.96,0.679138694
1.97,0.677389359
1.98,0.675649813
1.99,0.673919842
2,0.672199267
2.01,0.670669069
2.02,0.669141487
2.03,0.667625111
2.04,0.666119772
2.05,0.66462527
2.06,0.663141423
2.07,0.661668063
2.08,0.660205023
2.09,0.658752109
2.1,0.657309197
2.11,0.655876122
2.12,0.654452705
2.13,0.653038834
2.14,0.651634342
2.15,0.650239105
2.16,0.64885299
2.17,0.647475851
2.18,0.646107559
2.19,0.644747996
2.2,0.643397034
2.21,0.642054552
2.22,0.640720444
2.23,0.639394585
2.24,0.638076861
2.25,0.63676716
2.26,0.635465386
2.27,0.63417143
2.28,0.632885181
2.29,0.631606537
2.3,0.630335403
2.31,0.629071673
2.32,0.627815256
2.33,0.626566059
2.34,0.625323966
2.35,0.624088918
2.36,0.622860801
2.37,0.621639519
2.38,0.620425015
2.39,0.619217158
2.4,0.61801589
2.41,0.616821115
2.42,0.615632742
2.43,0.614450703
2.44,0.61327491
2.45,0.612105275
2.46,0.610941685
2.47,0.609784117
2.48,0.608632455
2.49,0.607486615
2.5,0.606346541
2.51,0.605212131
2.52,0.604083307
2.53,0.602960009
2.54,0.601842129
2.55,0.600729629
2.56,0.599622399
2.57,0.598520381
2.58,0.597423469
2.59,0.596331624
2.6,0.595244754
2.61,0.594162772
2.62,0.593085639
2.63,0.592013221
2.64,0.590945496
2.65,0.589882355
2.66,0.588823747
2.67,0.587769568
2.68,0.586719774
2.69,0.585674278
2.7,0.584632995
2.71,0.583595864
2.72,0.582562808
2.73,0.581533746
2.74,0.580508614
2.75,0.579487334
2.76,0.578469831
2.77,0.577456021
2.78,0.576445844
2.79,0.575439217
2.8,0.574436055
2.81,0.573436319
2.82,0.572439907
2.83,0.571446741
2.84,0.570456766
2.85,0.569469887
2.86,0.568486048
2.87,0.567505157
2.88,0.566527159
2.89,0.565551971
2.9,0.564579503
2.91,0.563609701
2.92,0.562642481
2.93,0.561677769
2.94,0.560715502
2.95,0.559755573
2.96,0.558797943
2.97,0.557842524
2.98,0.556889227
2.99,0.555937985
3,0.554988717
3.01,0.554169391
3.02,0.553450633
3.03,0.552733193
3.04,0.552017078
3.05,0.5513023
3.06,0.55058884
3.07,0.549876749
3.08,0.549165996
3.09,0.548456597
3.1,0.547748572
3.11,0.547041906
3.12,0.546336633
3.13,0.545632734
3.14,0.544930234
3.15,0.544229109
3.16,0.54352939
3.17,0.542831076
3.18,0.542134164
3.19,0.541438674
3.2,0.540744595
3.21,0.540051933
3.22,0.539360712
3.23,0.538670904
3.24,0.53798253
3.25,0.537295608
3.26,0.536610108
3.27,0.535926069
3.28,0.535243468
3.29,0.534562315
3.3,0.533882616
3.31,0.533204373
3.32,0.532527579
3.33,0.531852254
3.34,0.531178388
3.35,0.530505984
3.36,0.529835051
3.37,0.529165583
3.38,0.528497581
3.39,0.527831048
3.4,0.527165992
3.41,0.526502398
3.42,0.525840292
3.43,0.52517966
3.44,0.524520499
3.45,0.523862806
3.46,0.5232066
3.47,0.522551875
3.48,0.521898618
3.49,0.521246835
3.5,0.520596542
3.51,0.519947719
3.52,0.519300375
3.53,0.518654509
3.54,0.518010117
3.55,0.517367202
3.56,0.51672576
3.57,0.516085801
3.58,0.515447311
3.59,0.5148103
3.6,0.514174743
3.61,0.513540674
3.62,0.512908061
3.63,0.51227693
3.64,0.511647254
3.65,0.511019051
3.66,0.510392307
3.67,0.509767025
3.68,0.509143202
3.69,0.508520844
3.7,0.507899929
3.71,0.50728047
3.72,0.506662482
3.73,0.506045928
3.74,0.50543082
3.75,0.50481716
3.76,0.504204949
3.77,0.503594173
3.78,0.502984832
3.79,0.502376922
3.8,0.501770451
3.81,0.501165401
3.82,0.500561787
3.83,0.499959598
3.84,0.499358823
3.85,0.498759455
3.86,0.498161524
3.87,0.497564985
3.88,0.496969862
3.89,0.496376142
3.9,0.495783817
3.91,0.495192895
3.92,0.494603368
3.93,0.494015232
3.94,0.493428475
3.95,0.49284311
3.96,0.492259115
3.97,0.491676507
3.98,0.491095268
3.99,0.490515396
4,0.489936875
4.01,0.48938912
4.02,0.488842699
4.03,0.488297617
4.04,0.487753854
4.05,0.487211421
4.06,0.486670312
4.07,0.486130526
4.08,0.485592057
4.09,0.485054886
4.1,0.484519043
4.11,0.483984498
4.12,0.483451249
4.13,0.482919313
4.14,0.482388656
4.15,0.48185929
4.16,0.48133121
4.17,0.480804423
4.18,0.48027891
4.19,0.479754664
4.2,0.479231686
4.21,0.478709983
4.22,0.478189541
4.23,0.477670359
4.24,0.477152423
4.25,0.476635745
4.26,0.476120306
4.27,0.475606115
4.28,0.475093141
4.29,0.47458143
4.3,0.47407092
4.31,0.473561644
4.32,0.473053586
4.33,0.472546737
4.34,0.47204111
4.35,0.471536687
4.36,0.471033463
4.37,0.470531433
4.38,0.470030596
4.39,0.469530942
4.4,0.469032477
4.41,0.468535191
4.42,0.468039077
4.43,0.467544121
4.44,0.467050351
4.45,0.466557726
4.46,0.466066259
4.47,0.465575949
4.48,0.465086773
4.49,0.464598755
4.5,0.464111851
4.51,0.46362609
4.52,0.463141456
4.53,0.462657938
4.54,0.462175542
4.55,0.461694253
4.56,0.461214077
4.57,0.460735001
4.58,0.460257022
4.59,0.459780126
4.6,0.45930433
4.61,0.458829618
4.62,0.458355977
4.63,0.457883403
4.64,0.457411914
4.65,0.456941474
4.66,0.456472099
4.67,0.456003767
4.68,0.455536493
4.69,0.455070253
4.7,0.454605064
4.71,0.454140899
4.72,0.453677758
4.73,0.453215644
4.74,0.452754556
4.75,0.452294467
4.76,0.451835393
4.77,0.451377322
4.78,0.450920249
4.79,0.450464161
4.8,0.450009061
4.81,0.449554957
4.82,0.449101815
4.83,0.448649651
4.84,0.448198459
4.85,0.447748216
4.86,0.447298939
4.87,0.446850622
4.88,0.446403233
4.89,0.445956803
4.9,0.445511293
4.91,0.445066729
4.92,0.444623081
4.93,0.444180359
4.94,0.443738551
4.95,0.443297649
4.96,0.442857669
4.97,0.442418575
4.98,0.441980388
4.99,0.441543079
5,0.441106667
5.01,0.440772961
5.02,0.440365744
5.03,0.439959895
5.04,0.439555419
5.05,0.439152283
5.06,0.43875051
5.07,0.438350074
5.08,0.437950964
5.09,0.437553194
5.1,0.437156724
5.11,0.436761557
5.12,0.436367686
5.13,0.435975092
5.14,0.435583787
5.15,0.43519375
5.16,0.434804978
5.17,0.434417451
5.18,0.43403116
5.19,0.43364612
5.2,0.433262299
5.21,0.432879694
5.22,0.432498294
5.23,0.432118101
5.24,0.431739089
5.25,0.43136128
5.26,0.430984626
5.27,0.430609161
5.28,0.430234834
5.29,0.42986167
5.3,0.42948965
5.31,0.429118757
5.32,0.428749006
5.33,0.428380355
5.34,0.428012819
5.35,0.427646383
5.36,0.427281046
5.37,0.4269168
5.38,0.426553622
5.39,0.42619152
5.4,0.425830481
5.41,0.425470495
5.42,0.425111544
5.43,0.424753654
5.44,0.424396788
5.45,0.424040934
5.46,0.423686109
5.47,0.423332284
5.48,0.422979465
5.49,0.422627642
5.5,0.422276797
5.51,0.421926937
5.52,0.421578043
5.53,0.421230117
5.54,0.420883134
5.55,0.420537115
5.56,0.420192025
5.57,0.419847875
5.58,0.419504642
5.59,0.419162334
5.6,0.418820941
5.61,0.41848045
5.62,0.418140846
5.63,0.417802134
5.64,0.417464326
5.65,0.417127366
5.66,0.416791286
5.67,0.41645606
5.68,0.416121703
5.69,0.415788178
5.7,0.415455496
5.71,0.415123654
5.72,0.414792632
5.73,0.414462435
5.74,0.414133038
5.75,0.413804451
5.76,0.413476663
5.77,0.413149671
5.78,0.412823455
5.79,0.412498024
5.8,0.412173354
5.81,0.411849459
5.82,0.411526322
5.83,0.411203935
5.84,0.410882285
5.85,0.410561361
5.86,0.410241193
5.87,0.40992174
5.88,0.409602998
5.89,0.40928497
5.9,0.40896764
5.91,0.408651013
5.92,0.40833508
5.93,0.408019829
5.94,0.407705251
5.95,0.40739135
5.96,0.407078113
5.97,0.406765539
5.98,0.406453615
5.99,0.406142326
6,0.405831695
6.01,0.405530174
6.02,0.405239093
6.03,0.40494884
6.04,0.404659419
6.05,0.40437084
6.06,0.404083086
6.07,0.403796146
6.08,0.403510026
6.09,0.403224725
6.1,0.402940237
6.11,0.402656551
6.12,0.402373681
6.13,0.402091607
6.14,0.401810324
6.15,0.401529839
6.16,0.401250152
6.17,0.400971245
6.18,0.400693128
6.19,0.400415787
6.2,0.40013923
6.21,0.399863443
6.22,0.399588424
6.23,0.399314178
6.24,0.399040696
6.25,0.39876797
6.26,0.398496
6.27,0.398224804
6.28,0.397954347
6.29,0.397684627
6.3,0.397415662
6.31,0.397147437
6.32,0.396879952
6.33,0.396613211
6.34,0.396347185
6.35,0.396081897
6.36,0.395817338
6.37,0.395553502
6.38,0.395290379
6.39,0.395027974
6.4,0.394766288
6.41,0.394505313
6.42,0.394245051
6.43,0.393985485
6.44,0.393726617
6.45,0.393468461
6.46,0.393210997
6.47,0.39295422
6.48,0.392698137
6.49,0.392442748
6.5,0.392188038
6.51,0.391934008
6.52,0.391680661
6.53,0.391427986
6.54,0.391175983
6.55,0.390924656
6.56,0.390673994
6.57,0.390424005
6.58,0.390174666
6.59,0.389925994
6.6,0.389677977
6.61,0.389430614
6.62,0.389183901
6.63,0.388937844
6.64,0.388692425
6.65,0.388447647
6.66,0.388203521
6.67,0.387960032
6.68,0.387717171
6.69,0.387474931
6.7,0.387233345
6.71,0.386992386
6.72,0.386752035
6.73,0.386512319
6.74,0.386273223
6.75,0.386034728
6.76,0.385796871
6.77,0.38555962
6.78,0.385322971
6.79,0.385086943
6.8,0.384851515
6.81,0.384616672
6.82,0.384382444
6.83,0.384148828
6.84,0.383915781
6.85,0.383683343
6.86,0.383451491
6.87,0.383220242
6.88,0.382989554
6.89,0.382759466
6.9,0.382529955
6.91,0.382301019
6.92,0.382072667
6.93,0.381844895
6.94,0.381617682
6.95,0.381391036
6.96,0.381164964
6.97,0.380939466
6.98,0.380714529
6.99,0.38049014
7,0.380270473
7.01,0.380059992
7.02,0.379850139
7.03,0.379640891
7.04,0.379432264
7.05,0.379224239
7.06,0.379016831
7.07,0.37881002
7.08,0.378603821
7.09,0.378398224
7.1,0.378193215
7.11,0.377988804
7.12,0.377784997
