Mach,CD Power-On
0.01,0.488569424
0.02,0.526950015
0.03,0.531082005
0.04,0.529314307
0.05,0.526120111
0.06,0.522643717
0.07,0.519238832
0.08,0.516017857
0.09,0.51300901
0.1,0.510209423
0.11,0.50760507
0.12,0.505178655
0.13,0.5029129
0.14,0.500791633
0.15,0.498800389
0.16,0.496926251
0.17,0.495157906
0.18,0.493485411
0.19,0.49189997
0.2,0.490393897
0.21,0.488960404
0.22,0.487593438
0.23,0.486287685
0.24,0.485038354
0.25,0.483841206
0.26,0.482982383
0.27,0.48216847
0.28,0.481396454
0.29,0.480663459
0.3,0.479966962
0.31,0.479304721
0.32,0.478674539
0.33,0.47879213
0.34,0.479026084
0.35,0.47926017
0.36,0.479494336
0.37,0.479728635
0.38,0.479963048
0.39,0.480197574
0.4,0.480432214
0.41,0.480666967
0.42,0.480901814
0.43,0.481136809
0.44,0.481371881
0.45,0.481607098
0.46,0.481842409
0.47,0.482077831
0.48,0.482313345
0.49,0.482548986
0.5,0.482784736
0.51,0.483020613
0.52,0.483256563
0.53,0.483492638
0.54,0.483728822
0.55,0.483965094
0.56,0.484201509
0.57,0.484437995
0.58,0.484674623
0.59,0.484692314
0.6,0.484710093
0.61,0.485252655
0.62,0.485776491
0.63,0.486300431
0.64,0.486824458
0.65,0.487348623
0.66,0.487872855
0.67,0.488397209
0.68,0.488921682
0.69,0.489446222
0.7,0.489970881
0.71,0.490495623
0.72,0.491020502
0.73,0.491545446
0.74,0.492070508
0.75,0.49259567
0.76,0.493120931
0.77,0.493646273
0.78,0.49417175
0.79,0.494697289
0.8,0.495222945
0.81,0.49574868
0.82,0.496274548
0.83,0.496800496
0.84,0.497326522
0.85,0.49785268
0.86,0.498378899
0.87,0.498905232
0.88,0.499431642
0.89,0.499958182
0.9,0.500484782
0.91,0.503888078
0.92,0.514097968
0.93,0.529658705
0.94,0.545465344
0.95,0.561271983
0.96,0.577078622
0.97,0.592885261
0.98,0.6086919
0.99,0.624498539
1,0.640305179
1.01,0.656111818
1.02,0.671918457
1.03,0.687725096
1.04,0.703531735
1.05,0.719338374
1.06,0.718943436
1.07,0.718568753
1.08,0.718595171
1.09,0.718988018
1.1,0.719628353
